1,Afghanistan,Asia
2,Albania,Europe
3,Algeria,Africa
4,Andorra,Europe
5,Angola,Africa
6,Antigua and Barbuda,North America
7,Argentina,South America
8,Armenia,Europe
9,Australia,Oceania
10,Austria,Europe
11,Azerbaijan,Europe
12,Bahrain,Asia
13,Bangladesh,Asia
14,Barbados,North America
15,Belarus,Europe
16,Belgium,Europe
17,Belize,North America
18,Benin,Africa
19,Bhutan,Asia
20,Bolivia,South America
21,Bosnia and Herzegovina,Europe
22,Botswana,Africa
23,Brazil,South America
24,Brunei,Asia
25,Bulgaria,Europe
26,Burkina Faso,Africa
27,Burundi,Africa
28,Cambodia,Asia
29,Cameroon,Africa
30,Canada,North America
31,Cape Verde,Africa
32,Central African Republic,Africa
33,Chad,Africa
34,Chile,South America
35,China,Asia
36,Colombia,South America
37,Comoros,Africa
38,Congo,Africa
39,Costa Rica,North America
40,Croatia,Europe
41,Cuba,North America
42,Cyprus,Europe
43,Czech Republic,Europe
44,Democratic Republic of the Congo,Africa
45,Denmark,Europe
46,Djibouti,Africa
47,Dominica,North America
48,Dominican Republic,North America
49,East Timor,Asia
50,Ecuador,South America
51,Egypt,Africa
52,El Salvador,North America
53,Equatorial Guinea,Africa
54,Eritrea,Africa
55,Estonia,Europe
56,Ethiopia,Africa
57,Fiji,Oceania
58,Finland,Europe
59,France,Europe
60,Gabon,Africa
61,Gambia,Africa
62,Georgia,Europe
63,Germany,Europe
64,Ghana,Africa
65,Greece,Europe
66,Grenada,North America
67,Guatemala,North America
68,Guinea,Africa
69,Guinea-Bissau,Africa
70,Guyana,South America
71,Haiti,North America
72,Honduras,North America
73,Hungary,Europe
74,Iceland,Europe
75,India,Asia
76,Indonesia,Asia
77,Iran,Asia
78,Iraq,Asia
79,Ireland,Europe
80,Israel,Asia
81,Italy,Europe
82,Ivory Coast,Africa
83,Jamaica,North America
84,Japan,Asia
85,Jordan,Asia
86,Kazakhstan,Asia
87,Kenya,Africa
88,Kiribati,Oceania
89,Kosovo,Europe
90,Kuwait,Asia
91,Kyrgyzstan,Asia
92,Laos,Asia
93,Latvia,Europe
94,Lebanon,Asia
95,Lesotho,Africa
96,Liberia,Africa
97,Libya,Africa
98,Liechtenstein,Europe
99,Lithuania,Europe
100,Luxembourg,Europe
101,Macedonia,Europe
102,Madagascar,Africa
103,Malawi,Africa
104,Malaysia,Asia
105,Maldives,Asia
106,Mali,Africa
107,Malta,Europe
108,Marshall Islands,Oceania
109,Mauritania,Africa
110,Mauritius,Africa
111,Mexico,North America
112,Micronesia,Oceania
113,Moldova,Europe
114,Monaco,Europe
115,Mongolia,Asia
116,Montenegro,Europe
117,Morocco,Africa
118,Mozambique,Africa
119,Myanmar,Asia
120,Namibia,Africa
121,Nauru,Oceania
122,Nepal,Asia
123,Netherlands,Europe
124,New Zealand,Oceania
125,Nicaragua,North America
126,Niger,Africa
127,Nigeria,Africa
128,North Korea,Asia
129,Norway,Europe
130,Oman,Asia
131,Pakistan,Asia
132,Palau,Oceania
133,Panama,North America
134,Papua New Guinea,Oceania
135,Paraguay,South America
136,Peru,South America
137,Philippines,Asia
138,Poland,Europe
139,Portugal,Europe
140,Qatar,Asia
141,Romania,Europe
142,Russia,Asia
143,Rwanda,Africa
144,Saint Kitts and Nevis,North America
145,Saint Lucia,North America
146,Saint Vincent and the Grenadines,North America
147,Samoa,Oceania
148,San Marino,Europe
149,Sao Tome and Principe,Africa
150,Saudi Arabia,Asia
151,Senegal,Africa
152,Serbia,Europe
153,Seychelles,Africa
154,Sierra Leone,Africa
155,Singapore,Asia
156,Slovakia,Europe
157,Slovenia,Europe
158,Solomon Islands,Oceania
159,Somalia,Africa
160,South Africa,Africa
161,South Korea,Asia
162,South Sudan,Africa
163,Spain,Europe
164,Sri Lanka,Asia
165,Sudan,Africa
166,Suriname,South America
167,Swaziland,Africa
168,Sweden,Europe
169,Switzerland,Europe
170,Syria,Asia
171,Taiwan,Asia
172,Tajikistan,Asia
173,Tanzania,Africa
174,Thailand,Asia
175,Togo,Africa
176,Tonga,Oceania
177,Trinidad and Tobago,North America
178,Tunisia,Africa
179,Turkey,Asia
180,Turkmenistan,Asia
181,Tuvalu,Oceania
182,Uganda,Africa
183,Ukraine,Europe
184,United Arab Emirates,Asia
185,United Kingdom,Europe
186,United States of America,North America
187,Uruguay,South America
188,Uzbekistan,Asia
189,Vanuatu,Oceania
190,Vatican City,Europe
191,Venezuela,South America
192,Vietnam,Asia
193,Yemen,Asia
194,Zambia,Africa
195,Zimbabwe,Africa
